acc_z,pred_stanje_na_putu
9.065,OK
8.661,Not OK
8.179,Not OK
8.684,Not OK
9.273,OK
10.065,Not OK
11.054,Not OK
12.086,Not OK
11.784,Not OK
11.063,Not OK
10.522,Not OK
10.55,Not OK
10.132,Not OK
10.131,Not OK
9.789,OK
8.647,Not OK
9.05,OK
9.351,OK
10.117,Not OK
10.901,Not OK
10.608,Not OK
11.153,Not OK
11.274,Not OK
10.911,Not OK
11.058,Not OK
11.485,Not OK
11.636,Not OK
11.791,Not OK
11.097,Not OK
10.986,Not OK
10.0,Not OK
8.898,Not OK
9.328,OK
9.882,OK
10.208,Not OK
10.763,Not OK
10.838,Not OK
11.271,Not OK
11.836,Not OK
11.392,Not OK
10.543,Not OK
9.213,OK
9.559,OK
10.907,Not OK
10.481,Not OK
11.867,Not OK
12.466,Not OK
11.525,Not OK
12.215,Not OK
11.258,Not OK
11.79,Not OK
10.671,Not OK
11.23,Not OK
11.106,Not OK
10.331,Not OK
10.251,Not OK
10.684,Not OK
10.744,Not OK
11.057,Not OK
11.271,Not OK
11.648,Not OK
12.054,Not OK
12.367,Not OK
12.518,Not OK
12.498,Not OK
12.481,Not OK
12.781,Not OK
13.179,Not OK
12.637,Not OK
11.925,Not OK
10.502,Not OK
9.223,OK
9.525,OK
8.939,Not OK
8.336,Not OK
8.479,Not OK
9.085,OK
9.701,OK
10.21,Not OK
11.805,Not OK
12.824,Not OK
12.556,Not OK
11.781,Not OK
10.961,Not OK
9.845,OK
8.709,Not OK
8.124,Not OK
6.631,Not OK
6.704,Not OK
7.604,Not OK
8.159,Not OK
9.351,OK
10.284,Not OK
10.667,Not OK
11.183,Not OK
12.421,Not OK
12.755,Not OK
13.354,Not OK
12.466,Not OK
12.9,Not OK
13.003,Not OK
11.759,Not OK
11.007,Not OK
10.668,Not OK
10.175,Not OK
11.24,Not OK
10.817,Not OK
11.048,Not OK
10.991,Not OK
10.782,Not OK
9.827,OK
9.738,OK
10.456,Not OK
10.213,Not OK
10.204,Not OK
10.389,Not OK
10.472,Not OK
10.658,Not OK
10.191,Not OK
10.786,Not OK
10.727,Not OK
10.85,Not OK
10.392,Not OK
10.064,Not OK
10.116,Not OK
10.615,Not OK
9.971,OK
10.251,Not OK
10.761,Not OK
10.579,Not OK
10.89,Not OK
11.199,Not OK
11.11,Not OK
11.237,Not OK
11.254,Not OK
10.491,Not OK
10.574,Not OK
10.303,Not OK
10.308,Not OK
9.929,OK
9.553,OK
9.716,OK
10.139,Not OK
9.345,OK
9.872,OK
9.46,OK
9.663,OK
9.714,OK
9.997,OK
9.696,OK
10.107,Not OK
10.135,Not OK
10.376,Not OK
10.222,Not OK
10.065,Not OK
10.155,Not OK
10.025,Not OK
10.179,Not OK
9.535,OK
9.169,OK
8.897,Not OK
9.165,OK
9.662,OK
10.205,Not OK
10.269,Not OK
10.397,Not OK
9.493,OK
8.679,Not OK
9.036,OK
8.468,Not OK
7.941,Not OK
8.284,Not OK
8.124,Not OK
8.036,Not OK
8.737,Not OK
9.025,OK
8.439,Not OK
8.555,Not OK
8.436,Not OK
8.496,Not OK
8.307,Not OK
8.554,Not OK
9.276,OK
9.92,OK
9.994,OK
9.44,OK
9.667,OK
9.363,OK
8.539,Not OK
8.269,Not OK
8.151,Not OK
8.733,Not OK
9.13,OK
9.578,OK
10.345,Not OK
10.808,Not OK
11.121,Not OK
11.173,Not OK
11.397,Not OK
11.132,Not OK
10.48,Not OK
10.073,Not OK
9.854,OK
10.089,Not OK
9.098,OK
9.646,OK
9.792,OK
10.309,Not OK
10.359,Not OK
10.129,Not OK
10.265,Not OK
10.549,Not OK
10.505,Not OK
9.508,OK
9.529,OK
9.833,OK
9.624,OK
9.507,OK
9.502,OK
9.409,OK
10.159,Not OK
10.261,Not OK
9.991,OK
10.579,Not OK
10.76,Not OK
11.055,Not OK
11.674,Not OK
11.27,Not OK
10.904,Not OK
10.889,Not OK
10.325,Not OK
9.678,OK
9.62,OK
9.423,OK
9.238,OK
9.77,OK
10.184,Not OK
10.39,Not OK
10.214,Not OK
10.492,Not OK
10.537,Not OK
11.104,Not OK
10.569,Not OK
10.332,Not OK
10.275,Not OK
10.081,Not OK
9.426,OK
9.932,OK
10.224,Not OK
10.172,Not OK
10.125,Not OK
9.874,OK
9.515,OK
9.855,OK
9.823,OK
9.644,OK
9.908,OK
9.725,OK
9.981,OK
9.969,OK
9.915,OK
10.368,Not OK
10.698,Not OK
10.547,Not OK
10.723,Not OK
10.752,Not OK
10.033,Not OK
9.594,OK
9.891,OK
10.088,Not OK
10.254,Not OK
9.709,OK
9.158,OK
10.072,Not OK
9.51,OK
9.376,OK
9.731,OK
10.149,Not OK
10.252,Not OK
10.26,Not OK
9.942,OK
10.32,Not OK
10.495,Not OK
10.831,Not OK
10.677,Not OK
10.141,Not OK
9.447,OK
9.287,OK
9.888,OK
9.617,OK
9.774,OK
9.657,OK
10.697,Not OK
10.344,Not OK
10.31,Not OK
10.606,Not OK
10.239,Not OK
10.074,Not OK
10.123,Not OK
10.012,Not OK
